,Investors,Company Name,Company URL,Role,Sweet Spot,Range,Location,Categories
0,Howard Morgan,B Capital Group,https://signal.nfx.com/firms/b-capital-group,General Partner,$1.5M,($100K - $60.0M),Investors in New York (NY),"Investors in AI (Pre-seed), Investors in Consumer Internet (Pre-seed), Investors in Data Services (Pre-seed), Investors in Enterprise (Pre-seed), Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Security (Pre-seed), Investors in Social Networks (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in AI (Seed), Investors in Consumer Internet (Seed), Investors in Data Services (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Security (Seed), Investors in Social Networks (Seed), Investors in Wellness & Fitness (Seed), Investors in AI (Series A), Investors in Consumer Internet (Series A), Investors in Data Services (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in Security (Series A), Investors in Social Networks (Series A), Investors in Wellness & Fitness (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
1,Anna Piñol,NFX,https://signal.nfx.com/firms/nfx,Principal,$2.5M,($500K - $5.0M),"Investors in Europe,","Investors in FinTech (Pre-seed), Investors in Generative Tech/AI (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Marketplaces (Pre-seed), Investors in Payments (Pre-seed), Investors in Sales & CRM (Pre-seed), Investors in FinTech (Seed), Investors in Generative Tech/AI (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Payments (Seed), Investors in Sales & CRM (Seed), Investors in FinTech (Series A), Investors in Generative Tech/AI (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in Payments (Series A), Investors in Sales & CRM (Series A), Investors in LatAm (Latin America) (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in Investors who were founders (Other Lists)"
2,Sullyen Almeida,monashees,https://signal.nfx.com/firms/monashees,Principal,$5.0M,($1.5M - $10.0M),Investors in LatAm (Latin America),"Investors in AI (Seed), Investors in Data Services (Seed), Investors in Education (Seed), Investors in EnergyTech (Seed), Investors in Enterprise Applications (Seed), Investors in Enterprise (Seed), Investors in Future of Work (Seed), Investors in Generative Tech/AI (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in AI (Series A), Investors in Data Services (Series A), Investors in Education (Series A), Investors in EnergyTech (Series A), Investors in Enterprise Applications (Series A), Investors in Enterprise (Series A), Investors in Future of Work (Series A), Investors in Generative Tech/AI (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in LatAm (Latin America) (Other Lists)"
3,Guy Katsovich,Fusion VC,https://signal.nfx.com/firms/fusion-vc,Managing Partner,$150K,($100K - $250K),"Investors in New York (NY),","Investors in AR/VR (Pre-seed), Investors in BioTech (Pre-seed), Investors in ClimateTech/CleanTech (Pre-seed), Investors in Enterprise (Pre-seed), Investors in Entertainment & Sports (Pre-seed), Investors in FinTech (Pre-seed), Investors in Health & Hospital Services (Pre-seed), Investors in Insurance (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SMB Software (Pre-seed), Investors in AR/VR (Seed), Investors in BioTech (Seed), Investors in ClimateTech/CleanTech (Seed), Investors in Enterprise (Seed), Investors in Entertainment & Sports (Seed), Investors in FinTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in SMB Software (Seed), Investors in Diverse Investors (Other Lists), Investors in Israel (Other Lists), Investors in Israel (Other Lists), Investors in Israel (Other Lists), Investors in Israel (Other Lists), Investors in Los Angeles / Southern California (Other Lists), Investors in Los Angeles / Southern California (Other Lists), Investors in New York City (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
4,Krishnan Sastry,Insight Partners,https://signal.nfx.com/firms/insight-partners,Managing Director,$25.0M,($10.0M - $350.0M),Investors in Louisville/Jefferson County (KY),"Investors in AI (Series A), Investors in Cybersecurity (Series A), Investors in Developer Tools (Series A), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in Future of Work (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Retail (Series A), Investors in AI (Series B), Investors in Cybersecurity (Series B), Investors in Developer Tools (Series B), Investors in Digital Health (Series B), Investors in FinTech (Series B), Investors in Future of Work (Series B), Investors in Health & Hospital Services (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in Retail (Series B)"
5,Naoshir Vachha,Anthemis Group,https://signal.nfx.com/firms/anthemis-group,Partner,$1.5M,($100K - $5.0M),Investors in London,"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in London (Other Lists), Investors in London (Other Lists)"
6,Mark Cho,B Capital Group,https://signal.nfx.com/firms/b-capital-group,Partner,$25.0M,($25.0M - $60.0M),Investors in New York (NY),"Investors in Consumer Internet (Seed), Investors in Enterprise (Seed), Investors in LegalTech (Seed), Investors in Consumer Internet (Series A), Investors in Enterprise (Series A), Investors in LegalTech (Series A), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
7,Ali Hamed,Crossbeam Venture Partners,https://signal.nfx.com/firms/crossbeam-venture-partners,General Partner,$1.5M,($500K - $3.0M),"Investors in Miami (FL),","Investors in Entertainment & Sports (Pre-seed), Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Media/Content (Pre-seed), Investors in Social Networks (Pre-seed), Investors in Entertainment & Sports (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in Social Networks (Seed), Investors in Entertainment & Sports (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Media/Content (Series A), Investors in Social Networks (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists)"
8,Phil Nadel,Forefront Venture Partners,https://signal.nfx.com/firms/forefront-venture-partners,Managing Director,$500K,($150K - $1M),Investors in Boca Raton (FL),"Investors in AI (Seed), Investors in Analytics (Seed), Investors in Data Services (Seed), Investors in Direct-to-Consumer (DTC) (Seed), Investors in Future of Work (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in SaaS (Seed), Investors in SMB Software (Seed), Investors in TransportationTech (Seed), Investors in AI (Series A), Investors in Analytics (Series A), Investors in Data Services (Series A), Investors in Direct-to-Consumer (DTC) (Series A), Investors in Future of Work (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in SaaS (Series A), Investors in SMB Software (Series A), Investors in TransportationTech (Series A), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
9,Cindy Padnos,Illuminate Ventures,https://signal.nfx.com/firms/illuminate-ventures,Managing Partner,$750K,($250K - $1.5M),Investors in Oakland (CA),"Investors in AI (Pre-seed), Investors in Cloud Infrastructure (Pre-seed), Investors in Enterprise Applications (Pre-seed), Investors in Enterprise Infrastructure (Pre-seed), Investors in Human Capital/HRTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in MarketingTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Sales & CRM (Pre-seed), Investors in SMB Software (Pre-seed), Investors in AI (Seed), Investors in Cloud Infrastructure (Seed), Investors in Enterprise Applications (Seed), Investors in Enterprise Infrastructure (Seed), Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in SaaS (Seed), Investors in Sales & CRM (Seed), Investors in SMB Software (Seed), Investors in Diverse Investors (Other Lists), Investors in Female Investors (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
